Course name,Department code,Course code,T,P,C,Tutorial,Lecturer name,Lecturer Title,Lecturer Id,Section code,Section name,Year,Section department,Class size
Engineering Technology,COE,153,0,4,2,0,P. Y. Okyere,Dr,,,,1,Biomedical,87
Differential Equations,MATH,251,4,1,4,0,K. F Darkwah,Dr,,,,2,Biomedical,90
C. Programming,BME,253,2,3,3,0,E. Keelson,Dr,,,,2,Biomedical,90
Anatomy and Physiology For Engineers I,COE,285,4,0,4,0,D. A. Y. Agyapong,Dr,,,,2,Biomedical,90
Semiconductor Devices,COE,271,2,0,2,0,B. Kommey,Dr,,,,2,Biomedical,90
Biomedical Engineering Design I,BME,251,2,2,3,0,P.E. Adjei,Dr,,,,2,Biomedical,90
Engineering in Society,CENG,291,1,0,1,0,P. Odame,Dr,,,,2,Biomedical,90
Literature in English I,ENGL,263,2,0,2,0,Z. Osei,Dr,,,,2,Biomedical,90
French For Communication I,FREN,181,2,0,2,0,D. Pimpong,Dr,,,,2,Biomedical,90
Introductory Economics I,ECON,151,2,0,2,0,E. Buabeng,Dr,,,,2,Biomedical,90
Account I,CSM,157,2,0,2,0,K. S. B.,Dr,,,,2,Biomedical,90
Linear Electronic Circuits,COE,371,3,1,3,0,A.S. Agbemenu,Dr,,,,3,Biomedical,45
Probability and Statistics,MATH,353,2,1,2,0,E. Harris,Dr,,,,3,Biomedical,45
Signal & Systems,TE,385,3,0,3,0,K. A. P Agyekum,Dr,,,,3,Biomedical,45
Numerical Methods,MATH,351,2,1,2,0,A. Agyei,Dr,,,,3,Biomedical,45
Microprocessors,COE,381,2,2,3,0,J. Yankey,Dr,,,,3,Biomedical,45
Object Oriented Programming,COE,351,2,4,4,0,B. Kommey,Dr,,,,3,Biomedical,45
Research Methods,BME,397,2,3,3,0,P. Odame,Dr,,,,3,Biomedical,45
Vacation Training,COE,499,0,8,2,0,All Academic Staff,Dr,,,,4,Biomedical,78
Medical Imaging II,BME,451,2,2,3,0,E. K. T. Addison,Dr,,,,4,Biomedical,78
Bioinstrumentation II,BME,471,2,2,3,0,I. Acquah,Dr,,,,4,Biomedical,78
Biomechanics I,BME,461,2,2,3,0,P. Odame,Dr,,,,4,Biomedical,78
Biomaterials II,BME,463,3,0,3,0,D. A. Y. Agyapong,Dr,,,,4,Biomedical,78
Engineering Econs And Management,ME,491,2,0,2,0,A. K. Instiful/ S. H. M.,Dr,,,,4,Biomedical,78
Project I,BME,497,0,6,3,0,All Academic Staff,Dr,,,,4,Biomedical,78
Environmental Studies,CE,155,2,0,2,0,K. Nyarko,Dr,,,,1,Computer,89
Engineering Technology,COE,153,0,4,2,0,P. Y. Okyere,Dr,,,,1,Computer,89
Introduction to Information Technology,COE,157,2,1,2,0,B. Yeboah- Akowuah,Dr,,,,1,Computer,89
Applied Electricity,COE,181,2,2,3,0,E. A. Frimpong,Dr,,,,1,Computer,89
Communication Skills 1,ENGL,157,2,0,2,0,English,Dr,,,,1,Computer,89
Algebra,MATH,151,4,1,4,0,F. T. Oduro,Dr,,,,1,Computer,89
Technical Drawing,ME,159,1,3,2,0,Y. A. K. Fiagbe,Dr,,,,1,Computer,89
Basic Mechanics,ME,161,3,1,3,0,F. W. Adam,Dr,,,,1,Computer,89
Differential Equations,MATH,251,4,1,4,0,K. F. Darkwah,Dr,,,,2,Computer,112
Discrete Structures,COE,251,3,1,3,0,P. Yirenkyi,Dr,,,,2,Computer,112
Communication Systems,COE,241,2,1,2,0,B. Yeboah-Akowuah,Dr,,,,2,Computer,112
Semiconductor Devices,COE,271,2,0,2,0,B. Kommey,Dr,,,,2,Computer,112
Circuit Theory,COE,287,2,1,2,0,P. Y. Okyere,Dr,,,,2,Computer,112
Computer Engineering Lab. I,COE,291,0,7,2,0,All Academic Staff,Dr,,,,2,Computer,112
Computer Organisation,COE,273,2,0,2,0,H. Nunoo-Mensah,Dr,,,,2,Computer,112
Engineering in Society,CENG,291,0,8,2,0,P. E. Adjei,Dr,,,,2,Computer,112
Object Oriented Programming,COE,351,2,4,4,0,B. Kommey,Dr,,,,3,Computer,54
Linear Electronic Circuits,COE,371,3,1,3,0,A. S. Agbemenu,Dr,,,,3,Computer,54
Microprocessors,COE,381,2,2,3,0,J. Yankey,Dr,,,,3,Computer,54
Classical Control Systems,COE,387,2,2,3,0,G. S. Klogo,Dr,,,,3,Computer,54
Numerical Methods,MATH,351,2,1,2,0,A. Agyei,Dr,,,,3,Computer,54
Probability and Statistics,MATH,353,2,1,2,0,E. Harris,Dr,,,,3,Computer,54
Information Theory,COE,343,2,0,2,0,E. K. Akowuah,Dr,,,,3,Computer,54
Computer Networking,COE,475,3,2,4,0,E. K. Akowuah,Dr,,,,4,Computer,89
Computer Architecture,COE,485,2,2,3,0,K. O. Boateng,Dr,,,,4,Computer,89
Project I,COE,497,0,6,3,0,All Academic Staff,Dr,,,,4,Computer,89
Vacation Training,COE,499,0,8,2,0,All Academic Staff,Dr,,,,4,Computer,89
Engineering Economics And Management,ME,491,3,0,3,0,S. H. M. Aikins/ A. K. Intsiful,Dr,,,,4,Computer,89
Distributed Computing,COE,453,2,2,3,0,Klogo,Dr,,,,4,Computer,89
Computer Graphics,COE,451,2,2,3,0,Yankey,Dr,,,,4,Computer,89
Artificial Intelligence,COE,457,2,2,3,0,Henry,Dr,,,,4,Computer,89
Inorganic Chemistry for Enginneers,CHE,151,0,0,2,0,S. E. Agorku,Dr,,,,1,Petroluem,77
Organic Chemistry for Engineers,CHE,153,0,0,2,0,C. O. Akoto,Dr,,,,1,Petroluem,77
Practical Chemistry I,CHEM,169,0,0,3,0,J. K. Mensah,Dr,,,,1,Petroluem,77
Applied Electricity,EE,151,0,0,3,0,E.A. Frimpong,Dr,,,,1,Petroluem,77
Communication Skills I,ENGL,157,0,0,2,0,P. Yeboa,Dr,,,,1,Petroluem,77
Technical Drawing,ME,159,0,0,2,0,I. Davies,Dr,,,,1,Petroluem,77
Mathematics I,MATH,151,0,0,4,0,J. Akora-Prah,Dr,,,,1,Petroluem,77
Engineering in Society,CENG,291,0,0,2,0,E.O. Ansah,Dr,,,,2,Petroleum,80
Chemical Engineering Thermodynamics I,CHE,253,0,0,2,0,E.O. Ansah,Dr,,,,2,Petroleum,80
Differential Equations,MATH,251,0,0,4,0,F.T Oduro,Dr,,,,2,Petroleum,80
Petroleum Engineering Calculations,PETE,251,0,0,3,0,A. Hama,Dr,,,,2,Petroleum,80
Introduction to Petroleum Engineering,PETE,253,0,0,2,0,S.K Donyinah,Dr,,,,2,Petroleum,80
Computer Applications for Petroleum Engineers,PETE,261,0,0,2,0,E.O. Ansah,Dr,,,,2,Petroleum,80
Petroleum Fluid Dynamics,PETE,257,0,0,3,0,A. Hama,Dr,,,,2,Petroleum,80
Basic Swimming,SES,171,0,0,2,0,Sports Department,Dr,,,,2,Petroleum,80
Experimental Data Analysis,CHE,357,0,0,3,0,E.Omari,Dr,,,,3,Petroleum,78
Principles of Land Surveying,GE,183,0,0,3,0,A. Arko Adjei,Dr,,,,3,Petroleum,78
Industry Safety and Environmental Protection,PETE,371,0,0,2,0,Dr Donyinah,Dr,,,,3,Petroleum,78
Formation Evaluation,PETE,353,0,0,2,0,W.N Aggrey,Dr,,,,3,Petroleum,78
Petroleum Engineering Lab I,PETE,375,0,0,2,0,A.Hama,Dr,,,,3,Petroleum,78
Reservoir Petrophysics,PETE,357,0,0,3,0,A.Hama,Dr,,,,3,Petroleum,78
Reservoir Engineering,PETE,359,0,0,3,0,W.N Aggrey,Dr,,,,3,Petroleum,78
Petro- Technical And Economics,PETE,451,0,0,3,0,W.N Aggrey,Dr,,,,4,Petroleum,67
Design Project I,PETE,453,0,0,2,0,All Lecturers,Dr,,,,4,Petroleum,67
Reservoir Simulation,PETE,455,0,0,3,0,W.N. Aggrey,Dr,,,,4,Petroleum,67
Reservoir Models and Development,PETE,457,0,0,3,0,W.N Aggrey,Dr,,,,4,Petroleum,67
Well logging,PETE,459,0,0,3,0,W.N Aggrey,Dr,,,,4,Petroleum,67
Reservoir Recovery Techniques,PETE,467,0,0,2,0,W.N Aggrey,Dr,,,,4,Petroleum,67
Environmental Management,PETE,461,0,0,2,0,Dr. S.K Donyinah,Dr,,,,4,Petroleum,67
Environmental Engineering Technology,PETE,465,0,0,2,0,Dr. S.K Donyinah,Dr,,,,4,Petroleum,67
Fuels and Combustion Technology,PCE,461,0,0,2,0,Dr. M.Y Woode,Dr,,,,4,Petroleum,67
Enhanced Oil Recovery,PETE,463,0,0,2,0,W.N Aggrey,Dr,,,,4,Petroleum,67
Algebra,MATH,155,4,0,4,0,J. Ackora-Prah,Dr,,,,1,Telecom,98
Communication Skills I,ENGL,157,2,0,2,0,K. Baah Gyamfi,Dr,,,,1,Telecom,98
Environmental Studies,CE,155,2,0,2,0,Prof. Esi Awuah,Dr,,,,1,Telecom,98
Technical Drawing,ME,159,1,3,2,0,Mr. F. Davies,Dr,,,,1,Telecom,98
Basic Mechanics,ME,161,3,1,3,0,Dr. Ampofo,Dr,,,,1,Telecom,98
Applied Electricity,EE,151,2,2,3,0,Mr. E. Frimpong,Dr,,,,1,Telecom,98
Engineering Technology,EE,153,0,4,2,0,Mr. G. E. Afari,Dr,,,,1,Telecom,98
Differential Equations,MATH,251,4,0,4,0,E. Agyeman,Dr,,,,2,Telecom,76
Literature in English I,ENGL,263,1,0,1,0,E.Y. Ayepkle,Dr,,,,2,Telecom,76
C Programming,COE,251,2,3,3,0,Mr. J. G. Nuamah,Dr,,,,2,Telecom,76
Semiconductor Devices,EE,271,2,0,2,0,Dr. K. Diawuo,Dr,,,,2,Telecom,76
Circuit Theory,EE,287,2,0,2,0,Prof. E. A. Jackson,Dr,,,,2,Telecom,76
Analog Communication Systems,TE,271,2,0,2,0,Rev. Dr. J. K. Oppong,Dr,,,,2,Telecom,76
Telecommunication Lab I,TE,291,0,6,2,0,All staff,Dr,,,,2,Telecom,76
Numerical Analysis,MATH,351,2,0,2,0,F. Boateng,Dr,,,,3,Telecom,118
Probability And Statistics,MATH,353,2,0,2,0,D Asamoah Owusu,Dr,,,,3,Telecom,118
Linear Electronic Circuits,EE,371,2,2,3,0,Dr. K. Diawuo,Dr,,,,3,Telecom,118
Microprocessors,COE,381,2,2,3,0,Dr. K. O. Boateng,Dr,,,,3,Telecom,118
Signals And Systems,TE,385,2,0,2,0,Prof. E. A. Jackson,Dr,,,,3,Telecom,118
Information Theory,TE,361,2,0,2,0,Dr. A-R Ahmed,Dr,,,,3,Telecom,118
Optical Communications,TE,381,2,0,2,0,Dr. J. J. Kponyo,Dr,,,,3,Telecom,118
Telecommunication Lab III,TE,391,0,9,2,0,All staff,Dr,,,,3,Telecom,118
Computer Application And Project Design,TE,461,3,1,3,0,Dr. J. J. Kponyo,Dr,,,,4,Telecom,150
Electromagnetic Compatibility,TE,471,3,0,3,0,Dr. A-R Ahmed,Dr,,,,4,Telecom,150
Wireless Data Communication Networks,TE,481,3,0,3,0,Rev. Dr. J. K. Oppong,Dr,,,,4,Telecom,150
Project I,TE,497,0,6,3,0,All staff,Dr,,,,4,Telecom,150
Engineering Economics And Management,ME,491,3,0,3,0,Mrs Intsiful,Dr,,,,4,Telecom,150
Industrial Training,EE,489,,,1,0,Helena,Dr,,,,4,Telecom,150
Computer Networking,COE,475,3,0,3,0,Dr. K. O. Boateng,Dr,,,,4,Telecom,150
Algebra,MATH,151,4,0,4,0,W. O. Denteh,Dr,,,,1,Electrical,80
Communication Skills I,ENGL,157,1,3,2,0,J. Oppong Asare,Dr,,,,1,Electrical,80
Technical Drawing,ME,159,2,0,2,0,R. Opoku,Dr,,,,1,Electrical,80
Basic Mechanics,ME,161,3,1,3,0,L. D. Mensah,Dr,,,,1,Electrical,80
Applied Electricity,EE,151,3,1,3,0,Dr. F. B. Effah,Dr,,,,1,Electrical,80
Environmental Studies,CE,155,2,0,2,0,R. Buamah,Dr,,,,1,Electrical,80
Engineering Technology,EE,153,0,4,2,0,Prof. P.Y. Okyere,Dr,,,,1,Electrical,80
Differential Equations,MATH,251,4,0,4,0,F. T. Oduro,,,,,2,Electrical,130
C Programming,COE,251,2,3,3,0,J. Yankey,,,,,2,Electrical,130
Semiconductor Devices,EE,271,2,0,2,0,Mr. B. Kommey,,,,,2,Electrical,130
Circuit Theory,EE,287,3,0,3,0,Mr. G. Adom-Bamfi,,,,,2,Electrical,130
Asynchronous & DC Machines,EE,261,3,0,3,0,Prof. P. Y. Okyere,,,,,2,Electrical,130
Electrical Engineering Lab I,EE,291,0,9,2,0,Dr. E. A. Frimpong,,,,,2,Electrical,130
Numerical Methods,MATH,351,2,0,2,0,P. Amoako-Yirenkyi,,,,,3,Electrical,79
Probability And Statistics,MATH,353,2,0,2,0,G. A. Okyere,,,,,3,Electrical,79
Linear Electronic Circuits,EE,371,2,2,3,0,S. Agbemenu,,,,,3,Electrical,79
Microprocessors,COE,381,2,2,3,0,J. Yankey,,,,,3,Electrical,79
Power Generation And Supply,EE,367,2,0,2,0,Mr. E. O. K. Addo,,,,,3,Electrical,79
Analogue Communication Systems,TE,271,2,2,3,0,Dr. S.M. Ellis,,,,,3,Electrical,79
Electrical Services Design,EE,365,1,6,2,0,Mr. E. O. K. Addo,,,,,3,Electrical,79
Classical Control Systems,EE,387,2,0,2,0,Dr. D. Opoku,,,,,3,Electrical,79
Computer Networking,COE,475,3,2,4,0,Dr. K.A.B. Opare,,,,,4,Electrical,90
Engineering Economy & Management,ME,491,2,0,2,0,L. D. Mensah,,,,,4,Electrical,90
Power Systems Operation & Control,EE,467,3,0,3,0,Dr. E. K. Anto,,,,,4,Electrical,90
Project I,EE,497,0,6,3,0,All Academic Staff,,,,,4,Electrical,90
Wireless Data Communication Network,TE,481,3,0,3,0,Mr. K. A. P. Agyekum,,,,,4,Electrical,90
Special Electrical Machines,EE,463,3,0,3,0,Dr. E.  K. Anto,,,,,4,Electrical,90
Algebra,MATH,151,4,0,4,0,P. R. Nyarko,,,,,1,Geological,78
Communication Skills I,ENGL,157,2,0,2,0,P. Yeboah,,,,,1,Geological,78
Basic Geology,GED,151,2,2,3,0,S. K. Y. Gawu,,,,,1,Geological,78
Engineering Technology,GED,153,0,2,1,0,C. G. Amedjoe/ M. C. Wilson,,,,,1,Geological,78
Elementary Structures,CE,151,2,1,2,0,R. O. Afrifa,,,,,1,Geological,78
Technical Drawing,ME,159,1,3,2,0,F. Davies,,,,,1,Geological,78
Basic Mechanics,ME,161,3,1,3,0,F. B. Adam,,,,,1,Geological,78
Differential Equations,MATH,251,4,0,4,0,P. R. Nyarko,,,,,2,Geological,117
Mineralogy,GED,251,2,2,3,0,C. G. Amedjoe,,,,,2,Geological,117
Physical Geology,GED,253,2,2,3,0,E. Mensah,,,,,2,Geological,117
Computer Programming,GED,267,1,2,2,0,M. C. Wilson/ S. Bansah,,,,,2,Geological,117
